,브랜드명,2014등록대수,2014점유율,2015등록대수,2015점유율,2016등록대수,2016점유율,2017등록대수,2017점유율,2018등록대수,2018점유율,2019등록대수,2019점유율,2020등록대수,2020점유율,2021등록대수,2021점유율,2022등록대수,2022점유율,2023등록대수,2023점유율,2024등록대수,2024점유율
0,Audi,27647,14.08,32538,13.34,16718,7.42,962,0.41,12450,4.78,11930,4.87,25513,9.28,25615,9.28,21402,7.55,16650,6.83,8386,3.5
1,BMW,40174,20.46,47877,19.63,48459,21.51,59624,25.58,50524,19.38,44191,18.05,58393,21.24,65669,23.78,78545,27.71,69546,28.52,67250,28.05
2,Bentley,322,0.16,385,0.16,170,0.08,259,0.11,215,0.08,129,0.05,296,0.11,506,0.18,775,0.27,748,0.31,340,0.14
3,Cadillac,503,0.26,886,0.36,1102,0.49,2008,0.86,2101,0.8,1714,0.7,1499,0.55,987,0.36,977,0.34,859,0.35,627,0.26
4,Ford,8718,4.44,10358,4.25,11220,4.98,10727,4.6,11586,4.44,8737,3.57,7069,2.57,6721,2.43,5300,1.87,3141,1.29,3484,1.45
5,Honda,3601,1.83,4511,1.85,6636,2.95,10299,4.42,7956,3.05,8760,3.58,3056,1.11,4355,1.58,3140,1.11,1234,0.51,2145,0.89
6,Jaguar,1989,1.01,2804,1.15,3798,1.69,4125,1.77,3701,1.42,2484,1.01,875,0.32,338,0.12,163,0.06,54,0.02,0,0.0
7,Lamborghini,0,0.0,4,0.0,20,0.01,24,0.01,11,0.0,173,0.07,303,0.11,353,0.13,403,0.14,384,0.16,433,0.18
8,Land Rover,4675,2.38,7171,2.94,10601,4.71,10740,4.61,11772,4.52,7713,3.15,4801,1.75,3220,1.17,3113,1.1,4684,1.92,3958,1.65
9,Lexus,6464,3.29,7956,3.26,10594,4.7,12603,5.41,13340,5.12,12241,5.0,8911,3.24,9752,3.53,7592,2.68,12191,5.0,12849,5.36
10,MINI,6572,3.35,7501,3.08,8632,3.83,9562,4.1,9191,3.53,10222,4.18,11245,4.09,11148,4.04,11213,3.96,8731,3.58,6888,2.87
11,Mercedes-Benz,35213,17.93,46994,19.27,56343,25.01,68861,29.54,70798,27.15,78133,31.92,76879,27.97,76152,27.58,80976,28.57,68156,27.95,59561,24.84
12,Peugeot,3118,1.59,7000,2.87,3622,1.61,3697,1.59,4478,1.72,3505,1.43,2611,0.95,2320,0.84,1965,0.69,1763,0.72,852,0.36
13,Porsche,2568,1.31,3856,1.58,3187,1.41,2789,1.2,4285,1.64,4204,1.72,7779,2.83,8431,3.05,8963,3.16,10442,4.28,7516,3.13
14,Rolls-Royce,45,0.02,63,0.03,53,0.02,86,0.04,123,0.05,161,0.07,171,0.06,225,0.08,234,0.08,255,0.1,165,0.07
15,Toyota,6840,3.48,7825,3.21,9265,4.11,11698,5.02,16774,6.43,10611,4.33,6154,2.24,6441,2.33,6259,2.21,7602,3.12,8614,3.59
16,Volkswagen,30719,15.64,35778,14.67,13178,5.85,0,0.0,15390,5.91,8510,3.48,17615,6.41,14364,5.2,15791,5.57,8785,3.6,7734,3.23
17,Volvo,2976,1.52,4238,1.74,5206,2.31,6604,2.83,8524,3.27,10570,4.32,12798,4.66,15053,5.45,14431,5.09,15410,6.32,13603,5.67
18,Total,196359,100.0,243900,100.0,225279,100.0,233088,100.0,260705,100.0,244780,100.0,274859,100.0,276146,100.0,283435,100.0,243811,100.0,239764,100.0
