,브랜드명,2015등록대수,2015점유율,2014등록대수,2014점유율,2017등록대수,2017점유율,2016등록대수,2016점유율,2019등록대수,2019점유율,2018등록대수,2018점유율,2021등록대수,2021점유율,2020등록대수,2020점유율,2022등록대수,2022점유율,2024등록대수,2024점유율,2023등록대수,2023점유율
0,Audi,"32,538",13.34,"27,647",14.08,962,0.41,"16,718",7.42,"11,930",4.87,"12,450",4.78,"25,615",9.28,"25,513",9.28,"21,402",7.55,"8,386",3.5,"16,650",6.83
1,BMW,"47,877",19.63,"40,174",20.46,"59,624",25.58,"48,459",21.51,"44,191",18.05,"50,524",19.38,"65,669",23.78,"58,393",21.24,"78,545",27.71,"67,250",28.05,"69,546",28.52
2,Bentley,385,0.16,322,0.16,259,0.11,170,0.08,129,0.05,215,0.08,506,0.18,296,0.11,775,0.27,340,0.14,748,0.31
3,Cadillac,886,0.36,503,0.26,"2,008",0.86,"1,102",0.49,"1,714",0.7,"2,101",0.8,987,0.36,"1,499",0.55,977,0.34,627,0.26,859,0.35
4,Ford,"10,358",4.25,"8,718",4.44,"10,727",4.6,"11,220",4.98,"8,737",3.57,"11,586",4.44,"6,721",2.43,"7,069",2.57,"5,300",1.87,"3,484",1.45,"3,141",1.29
5,Honda,"4,511",1.85,"3,601",1.83,"10,299",4.42,"6,636",2.95,"8,760",3.58,"7,956",3.05,"4,355",1.58,"3,056",1.11,"3,140",1.11,"2,145",0.89,"1,234",0.51
6,Jaguar,"2,804",1.15,"1,989",1.01,"4,125",1.77,"3,798",1.69,"2,484",1.01,"3,701",1.42,338,0.12,875,0.32,163,0.06,0,0.0,54,0.02
7,Lamborghini,4,0.0,0,0.0,24,0.01,20,0.01,173,0.07,11,0.0,353,0.13,303,0.11,403,0.14,433,0.18,384,0.16
8,Land Rover,"7,171",2.94,"4,675",2.38,"10,740",4.61,"10,601",4.71,"7,713",3.15,"11,772",4.52,"3,220",1.17,"4,801",1.75,"3,113",1.1,"3,958",1.65,"4,684",1.92
9,Lexus,"7,956",3.26,"6,464",3.29,"12,603",5.41,"10,594",4.7,"12,241",5.0,"13,340",5.12,"9,752",3.53,"8,911",3.24,"7,592",2.68,"12,849",5.36,"12,191",5.0
10,MINI,"7,501",3.08,"6,572",3.35,"9,562",4.1,"8,632",3.83,"10,222",4.18,"9,191",3.53,"11,148",4.04,"11,245",4.09,"11,213",3.96,"6,888",2.87,"8,731",3.58
11,Mercedes-Benz,"46,994",19.27,"35,213",17.93,"68,861",29.54,"56,343",25.01,"78,133",31.92,"70,798",27.15,"76,152",27.58,"76,879",27.97,"80,976",28.57,"59,561",24.84,"68,156",27.95
12,Peugeot,"7,000",2.87,"3,118",1.59,"3,697",1.59,"3,622",1.61,"3,505",1.43,"4,478",1.72,"2,320",0.84,"2,611",0.95,"1,965",0.69,852,0.36,"1,763",0.72
13,Porsche,"3,856",1.58,"2,568",1.31,"2,789",1.2,"3,187",1.41,"4,204",1.72,"4,285",1.64,"8,431",3.05,"7,779",2.83,"8,963",3.16,"7,516",3.13,"10,442",4.28
14,Rolls-Royce,63,0.03,45,0.02,86,0.04,53,0.02,161,0.07,123,0.05,225,0.08,171,0.06,234,0.08,165,0.07,255,0.1
15,Toyota,"7,825",3.21,"6,840",3.48,"11,698",5.02,"9,265",4.11,"10,611",4.33,"16,774",6.43,"6,441",2.33,"6,154",2.24,"6,259",2.21,"8,614",3.59,"7,602",3.12
16,Volkswagen,"35,778",14.67,"30,719",15.64,0,0.0,"13,178",5.85,"8,510",3.48,"15,390",5.91,"14,364",5.2,"17,615",6.41,"15,791",5.57,"7,734",3.23,"8,785",3.6
17,Volvo,"4,238",1.74,"2,976",1.52,"6,604",2.83,"5,206",2.31,"10,570",4.32,"8,524",3.27,"15,053",5.45,"12,798",4.66,"14,431",5.09,"13,603",5.67,"15,410",6.32
18,Total,"243,900",100.0,"196,359",100.0,"233,088",100.0,"225,279",100.0,"244,780",100.0,"260,705",100.0,"276,146",100.0,"274,859",100.0,"283,435",100.0,"239,764",100.0,"243,811",100.0
