,브랜드명,2014-2015등록대수변화율,2015-2016등록대수변화율,2016-2017등록대수변화율,2017-2018등록대수변화율,2018-2019등록대수변화율,2019-2020등록대수변화율,2020-2021등록대수변화율,2021-2022등록대수변화율,2022-2023등록대수변화율,2023-2024등록대수변화율,2014-2015점유율변화율,2015-2016점유율변화율,2016-2017점유율변화율,2017-2018점유율변화율,2018-2019점유율변화율,2019-2020점유율변화율,2020-2021점유율변화율,2021-2022점유율변화율,2022-2023점유율변화율,2023-2024점유율변화율
0,Audi,17.7,-48.6,-94.2,1194.2,-4.2,113.9,0.4,-16.4,-22.2,-49.6,-5.3,-44.4,-94.5,1065.9,1.9,90.6,0.0,-18.6,-9.5,-48.8
1,BMW,19.2,1.2,23.0,-15.3,-12.5,32.1,12.5,19.6,-11.5,-3.3,-4.1,9.6,18.9,-24.2,-6.9,17.7,12.0,16.5,2.9,-1.6
2,Bentley,19.6,-55.8,52.4,-17.0,-40.0,129.5,70.9,53.2,-3.5,-54.5,0.0,-50.0,37.5,-27.3,-37.5,120.0,63.6,50.0,14.8,-54.8
3,Cadillac,76.1,24.4,82.2,4.6,-18.4,-12.5,-34.2,-1.0,-12.1,-27.0,38.5,36.1,75.5,-7.0,-12.5,-21.4,-34.5,-5.6,2.9,-25.7
4,Ford,18.8,8.3,-4.4,8.0,-24.6,-19.1,-4.9,-21.1,-40.7,10.9,-4.3,17.2,-7.6,-3.5,-19.6,-28.0,-5.4,-23.0,-31.0,12.4
5,Honda,25.3,47.1,55.2,-22.7,10.1,-65.1,42.5,-27.9,-60.7,73.8,1.1,59.5,49.8,-31.0,17.4,-69.0,42.3,-29.7,-54.1,74.5
6,Jaguar,41.0,35.4,8.6,-10.3,-32.9,-64.8,-61.4,-51.8,-66.9,-100.0,13.9,47.0,4.7,-19.8,-28.9,-68.3,-62.5,-50.0,-66.7,-100.0
7,Lamborghini,0.0,400.0,20.0,-54.2,1472.7,75.1,16.5,14.2,-4.7,12.8,0.0,0.0,0.0,-100.0,0.0,57.1,18.2,7.7,14.3,12.5
8,Land Rover,53.4,47.8,1.3,9.6,-34.5,-37.8,-32.9,-3.3,50.5,-15.5,23.5,60.2,-2.1,-2.0,-30.3,-44.4,-33.1,-6.0,74.5,-14.1
9,Lexus,23.1,33.2,19.0,5.8,-8.2,-27.2,9.4,-22.1,60.6,5.4,-0.9,44.2,15.1,-5.4,-2.3,-35.2,9.0,-24.1,86.6,7.2
10,MINI,14.1,15.1,10.8,-3.9,11.2,10.0,-0.9,0.6,-22.1,-21.1,-8.1,24.4,7.0,-13.9,18.4,-2.2,-1.2,-2.0,-9.6,-19.8
11,Mercedes-Benz,33.5,19.9,22.2,2.8,10.4,-1.6,-0.9,6.3,-15.8,-12.6,7.5,29.8,18.1,-8.1,17.6,-12.4,-1.4,3.6,-2.2,-11.1
12,Peugeot,124.5,-48.3,2.1,21.1,-21.7,-25.5,-11.1,-15.3,-10.3,-51.7,80.5,-43.9,-1.2,8.2,-16.9,-33.6,-11.6,-17.9,4.3,-50.0
13,Porsche,50.2,-17.3,-12.5,53.6,-1.9,85.0,8.4,6.3,16.5,-28.0,20.6,-10.8,-14.9,36.7,4.9,64.5,7.8,3.6,35.4,-26.9
14,Rolls-Royce,40.0,-15.9,62.3,43.0,30.9,6.2,31.6,4.0,9.0,-35.3,50.0,-33.3,100.0,25.0,40.0,-14.3,33.3,0.0,25.0,-30.0
15,Toyota,14.4,18.4,26.3,43.4,-36.7,-42.0,4.7,-2.8,21.5,13.3,-7.8,28.0,22.1,28.1,-32.7,-48.3,4.0,-5.2,41.2,15.1
16,Volkswagen,16.5,-63.2,-100.0,0.0,-44.7,107.0,-18.5,9.9,-44.4,-12.0,-6.2,-60.1,-100.0,0.0,-41.1,84.2,-18.9,7.1,-35.4,-10.3
17,Volvo,42.4,22.8,26.9,29.1,24.0,21.1,17.6,-4.1,6.8,-11.7,14.5,32.8,22.5,15.5,32.1,7.9,17.0,-6.6,24.2,-10.3
18,Total,24.2,-7.6,3.5,11.8,-6.1,12.3,0.5,2.6,-14.0,-1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
