Question,Answer
0,내 개인정보는 안전한가요?,"당사는 고객님의 신뢰를 가장 중요하게 생각합니다. 따라서, Mercedes-Benz Store 이용 중 고객님의 개인정보가 보호될 수 있도록 모든 조치를 취하고 있습니다. 자세한 정보는 당사 개인정보처리 방침에서 확인하실 수 있습니다.
또한 Mercedes-Benz Store에서는 디지털 보안 시스템을 사용하여 웹사이트에 권한이 없는 사람이 액세스할 수 없도록 차단하고 개인정보가 암호화된 상태로만 전송되도록 조치하고 있습니다."
1,디지털 서비스를 이용하려면 메르세데스-벤츠 계정이 반드시 필요한가요?,"디지털 서비스를 이용하기 전 고객님의 차량에 대한 세부 정보를 등록해야 하여, 이후 어떤 디지털 서비스를 이용할 수 있는지 확인하고 활성화할 수 있습니다. 이를 위해서는 사용자 계정을 필수적으로 등록해야 합니다.
이미 메르세데스-벤츠 프로필에 접속할 권한이 있는 경우 이메일 주소 또는 휴대폰 번호와 비밀번호를 이용하여 로그인할 수 있습니다. 로그인 후 고객님의 차량에 적용 가능한 디지털 서비스를 구매할 수 있습니다."
2,메르세데스-벤츠 계정을 등록하면 어떤 장점이 있나요?,"고객님의 세부 정보는 고객님 개인 계정에 저장됩니다. 또한 고객님의 계정과 고객님의 차량을 페어링 하면 차량에서 이용 가능한 다양한 서비스를 확인 및 이용할 수 있습니다. 고객님의 세부 정보, 이메일, 휴대폰 번호 및 비밀번호는 메르세데스-벤츠 프로필에서 언제든지 변경할 수 있습니다."
3,비밀번호는 어떻게 변경하나요?,비밀번호를 분실한 경우 이메일 주소를 입력하고 지시에 따라 진행하세요. 이메일로 새 비밀번호를 보내드립니다.
4,디지털 서비스에 대한 문의 사항이 있을 경우 어떻게 해야 하나요?,문의 사항이 있거나 디지털 서비스에 대한 도움이 필요하실 경우 당사 고객 센터로 연락 주시기 바랍니다.
5,디지털 서비스를 이용하기 위한 필수 조건은 어떻게 되나요?,"디지털 서비스를 이용하려면 다음의 조건을 충족해야 합니다.
고객님의 차량에 통신 모듈이 장착되어 디지털 서비스를 이용할 수 있어야 합니다.
메르세데스-벤츠 웹사이트 또는 앱에서 사용자 계정이 등록되어 있어야 합니다.
고객님의 차량이 메르세데스-벤츠 계정과 페어링 되어야 합니다. 이 절차는 메르세데스-벤츠 공식 딜러가 수행합니다.
서비스 활성화에 대한 디지털 서비스 이용 약관에 동의해야 합니다.
서비스를 활성화해야 합니다. 하지만 특정 서비스의 경우 고객님의 메르세데스-벤츠 계정에 추가 정보를 입력하고 서비스 관리 메뉴에서 서비스를 활성화해야 합니다. 서비스 관리 메뉴는 고객님 메르세데스-벤츠 계정의 차량 관리 페이지에서 확인할 수 있습니다.
주의: 상기 전제 조건 외에 일부 디지털 서비스를 이용하려면 차량에 상시 설치된 별도 옵션이 적용되어 있어야 합니다. 관련 상세 정보는 스토어의 해당 서비스 페이지 ""기술 조건""과 자주 하는 질문에서 확인하실 수 있습니다."
6,디지털 서비스의 활성화 및 활성화 해제는 어떻게 하나요?,"서비스는 기본적으로 구매 직후 바로 활성화됩니다. 서비스가 포함된 신차를 구매한 경우 차량을 계정과 페어링하고 서비스를 활성화한 후 디지털 서비스 이용약관에 동의하면 서비스를 바로 이용할 수 있습니다.
특정 서비스의 경우 추가 정보 입력이 필요할 수 있으며, 이 정보는 고객님의 메르세데스-벤츠 계정 또는 앱의 디지털 서비스 관리 메뉴에서 등록할 수 있습니다. 서비스 관리는 앱의 ""내 차고"" 메뉴로 이동 후 ""디지털 서비스 관리"" 메뉴에서 확인 할 수 있으며, 추가 정보 등록 및 필요한 서비스를 활성화 할 수 있습니다.
서비스 해제 역시 메르세데스-벤츠 계정 또는 앱의 서비스 관리 메뉴에서 실행할 수 있습니다. 이를 위해 차량의 ""디지털 서비스 관리""를 클릭한 후 해제할 서비스를 선택한 후, ""서비스 처리 > 해제""를 클릭하면 서비스는 해제됩니다. 해제 후 동일한 절차를 통해 언제든지 다시 활성화할 수 있습니다.
서비스 결제와 관련한 당사에 대한 의무 사항 및 서비스의 잔여 이용 기간은 서비스를 해제하더라도 영향을 받지 않습니다."
7,활성화 후 디지털 서비스를 바로 이용할 수 있나요?,"메르세데스-벤츠 계정에서 서비스를 활성화했을 때, 고객님의 차량에 모바일 데이터가 연결되어 있다면 활성화 알림이 바로 표시됩니다. 차량이 지하 주차장에 주차되어 특정 시간에 연결되지 않을 경우 차량에 연결이 가능해질 때까지 서비스 활성화가 지연될 수 있습니다. 고객님의 차량으로 데이터 전송이 완료되면 메르세데스-벤츠 계정에 서비스 상태가 업데이트됩니다."
8,디지털 서비스의 이용 기한은 어디서 확인 할 수 있나요?,"메르세데스-벤츠 계정 또는 앱의 ""디지털 서비스 관리"" 메뉴에서 해당 서비스를 선택하면 잔여 이용 기간을 확인할 수 있습니다. 또한 메르세데스-벤츠 계정으로 로그인한 후 Mercedes-Benz Store 에 접속하여 구입한 상품 페이지로 이동하면 상품에 포함된 개별 서비스의 잔여 이용 기간을 확인할 수 있습니다."
9,중고 메르세데스-벤츠 차량도 디지털 서비스를 이용할 수 있나요?,서비스는 중고 메르세데스-벤츠 차량에서도 이용 가능합니다. 이 경우 먼저 고객님 차량이 이전 소유주의 메르세데스-벤츠 계정과 페어링이 해제되었는지 확인해야 합니다. 메르세데스-벤츠 공식 딜러가 해당 절차를 도와드립니다. 이어서 메르세데스-벤츠 프로필에서 차량의 페어링을 확인한 후 Mercedes-Benz Store에서 원하는 서비스를 구매할 수 있습니다. 이전 소유주의 서비스 이용 기간이 아직 남아 있을 경우 이 서비스 만료 기간까지 무료로 이용할 수 있습니다. 서비스 기간은 고객님이 차량을 연결하면 고객님의 메르세데스-벤츠 계정 또는 앱의 서비스 관리 메뉴에서 바로 확인할 수 있습니다.
