Question,Answer
Q: Can I change the size of the tires on my Lexus vehicle?,"A: Lexus carefully selects a tire size and grade to match the specifications of the vehicle and to optimize ride comfort and handling. As a result, we recommend the following:
Observe these precautions to help prevent accidents. Failure to do so may cause damage to parts of the drive train, as well as dangerous handling characteristics, which may lead to injury or fatal accidents.
For further information, visit our Tires section, see your Owner's Manual or visit your Lexus Dealer.
- Do not use tire sizes other than those supplied or recommended by Lexus
- Do not mix tires of different makes, models, tread patterns or tread wear
- Do not mix radial, bias-belted, or bias-ply tires
- Do not mix summer, all season and winter tires
- Always use Snow Tires when driving on snow or ice. Select snow tires of the same size, construction and load capacity as the original equipment tires.
- All four tires must be the same brand and have the same tread patterns."
Q: Where do I find the recommended tire pressure for my Lexus?,"A: Tire pressure for your vehicle is specified in your Owner's Manual and may also be found on the Tire and Loading Information Label, accessible on the driver's door pillar when you open the driver's door, or in the glove box."
Q: How do I arrange Lexus Roadside Assistance?,"A: To contact Lexus Roadside Assistance Services, please call 1‑800‑26‑LEXUS (1‑800‑265‑3987), select English or French, and then option 2. You may also schedule assistance here.
For further information, including coverage details, visit our Roadside Assistance section."
Q: Where do I find information on the services required to maintain a Lexus vehicle?,"A: Lexus Guests can find information on vehicle maintenance in the Owner's Manual Supplement. You may also access an online schedule in our Maintenance section.
Q: I used to access my Service History on Club Lexus. Where do I find it now?
A: For information on your Service History, please contact your Lexus Dealership directly."
Q: Does Lexus provide assistance for importing Lexus vehicles to Canada?,"A: If you are interested in importing a Lexus vehicle to Canada, we recommend that you visit the website of the Registrar of Imported Vehicles or contact them at 1‑888‑848‑8240.
Q: How do I get a Manufacturer's Confirmation Letter (also known as a Compliance Letter) to import my Canadian specification Toyota, Lexus or Scion into the United States?
A: Vehicles distributed by Toyota Canada Inc. (“TCI”) are certified as complying with all Canadian safety and emissions regulations. There are an increasing number of differences between these Canadian regulations and the comparable U.S. regulations. At the same time, the complexity of the equipment included in these vehicles is also growing. As a result, TCI is unable to provide Manufacturer’s Confirmation Letters, also known as Compliance Letters, of the type required by the U.S. National Highway Traffic Safety Administration (“NHTSA”) to import a Canadian-certified vehicle from Canada to the United States under Box 2B of Declaration Form HS7.

While TCI is unable to provide support on importing a vehicle to the United States from Canada, customers/guests may be able to utilize Box 3 of Declaration Form HS7, which involves the use of a Registered Importer. Importation of a vehicle using Box 3 is subject to several conditions and may not be possible for all vehicles. Further information on how to import a vehicle from Canada to the United States under Box 3 can be obtained in NHTSA’s Vehicle Importation Guidelines, which can be accessed here: https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/vig_canada09122017.pdf. Note that you will need to scroll down to the heading “Importing a Canadian-Certified Vehicle under Box 3” on page 2. NHTSA also publishes a list of Registered Importers, which can be accessed here: https://www.nhtsa.gov/importing-vehicle/registered-importers."
Q: What precautions do I need to take during the break-in period for my new Lexus?,"A: To extend the life of your new Lexus, it is recommended that you observe the following precautions:
For the first 300 km:


For the first 1000 km:


Note: The above has been updated to be consistent with the 2013 Owner's Manual. All recommendations above are included in the manual. Refer to the index for the exact page location.
- Avoid sudden stops
- Do not drive at very high speeds
- Avoid sudden acceleration
- Do not drive continuously in low gears
- Do not drive at a constant speed for extended periods"
Q: Where can I find information concerning the towing capacity of my vehicle?,"A: Information about the towing capacity, if applicable for your vehicle, is available in your Owner's Manual. We also recommend that you contact your Lexus Dealership for further information, before towing.
To access towing information for current model year Lexus vehicles, select the vehicle of your choice from the Automobiles navigation and review the detailed vehicle Specifications."
Natural Resources Canada – Fuel Consumption Reporting and Label Changes,"Toyota Canada supports the Federal Government’s announcement to introduce new fuel consumption ratings for cars and light trucks starting in model year 2015. The new ratings will better represent consumers’ typical driving conditions by taking into account air conditioner usage, cold temperature operation and driving at higher speeds with more rapid acceleration and braking. The updated fuel consumption ratings will provide consumers with a more accurate estimate of a vehicle’s fuel consumption and will ensure consumers have the most relevant information available when making vehicle purchase decisions.
In addition to the fuel consumption rating changes, Natural Resources Canada (NRCan) also announced the most fuel efficient vehicles for model year 2014. Toyota Canada is proud to say that we have the most class leading fuel efficient vehicles of any Canadian manufacturer. We have the most fuel efficient vehicle in 6 of 15, or 40%, of the NRcan vehicle classes, once again demonstrating our leadership in providing the most fuel efficient vehicles to Canadian consumers.
More information can be found by accessing the Natural Resources Canada website at www.vehicles.nrcan.gc.ca.
Q: Has something changed on the vehicle fuel consumption label?
A: Yes. The Government of Canada has changed the methodology for determining the fuel consumption ratings of new vehicles.
Q: Why has the methodology for determining fuel consumption ratings of new vehicles changed?
A: Consumers were consistently reporting that they could not meet the label values. To better approximate typical driving conditions/behaviours, the government aligned with the methodology used in the US, moving from 2-cycle testing to 5-cycle testing.
Q: How has the methodology for determining fuel consumption ratings of new vehicles changed?
A: Current testing uses city and highway ratings, called 2-cycle testing. Moving forward to model year 2015 vehicles, the methodology will include three additional tests that account for air conditioner usage, cold temperature operation and driving at higher speeds with more rapid acceleration and braking. This is referred to as the 5-cycle testing procedure.
Q: What is the current method for determining fuel consumption ratings?
A: Fuel consumption values are derived from the emissions generated during two laboratory driving cycles – a city test and a highway test. This is referred to as the 2-cycle testing procedure.
Q: Will the fuel consumption ratings of the 5-cycle procedure be different from the current 2-cycle procedure?
A: Yes. The 5-cycle testing procedure results in higher ratings that are more representative of a vehicle’s on-road fuel consumption compared to the 2-cycle testing methodology.
Q: Why are the label values higher?
A: They are higher because the three additional tests that account for air conditioner usage, cold temperature operation and driving at higher speeds with more rapid acceleration and braking consumes additional fuel.
Q: Does it mean that the new MY2015 model vehicle has higher fuel consumption vs a MY2014 model vehicle?
A: No. Only the methodology for determining the fuel consumption ratings of MY2015 has changed to better approximate typical driving conditions/behaviours.
Q: Will my new vehicle consume more gas and cost more to operate?
A: No. Only the methodology for determining the fuel consumption ratings of MY2015 has changed to better approximate typical driving conditions/behaviours.
Q: Can I compare current fuel consumption ratings (2-cycle) to the new and improved fuel consumption ratings (5-cycle)?
A: Yes. For 1995-2014 model year vehicles, adjusted ratings that reflect the new test methods are shown on the vehicle details pages on the vehicles.nrcan.gc.ca web site.
Q: When will the fuel consumption ratings change be implemented?
A: The new and improved fuel consumption ratings will appear on model year 2015 vehicles.
Q: Is this an industry wide change?
A: Yes.
Q: Could vehicles on the showroom floor have some labels based on a 2-cycle testing procedure and some based on a 5-cycle testing procedure?
A: Yes. MY2014 and earlier vehicles will have label values based on the 2-cycle testing procedure and MY2015 and future vehicles will have label values based on the 5-cycle testing procedure.
Q: Can I get additional information from the Government of Canada regarding this change?
A: Yes. Natural Resources Canada maintains a web site dedicated to light-duty vehicle fuel consumption at www.vehicles.nrcan.gc.ca.
Q: Will my actual fuel consumption still vary compared to the new (5-cycle) ratings?
A: Yes. NRCan has improved its methods for estimating fuel consumption, but your fuel consumption will still vary. Fuel consumption tests are designed to reflect ""typical"" driving conditions and driver behavior, but several factors can affect fuel consumption significantly:
Therefore, the NRCan ratings are a useful tool for comparing the fuel consumption of different vehicles but may not accurately predict the average fuel consumption you will get.
Q: Will Canadian mi/gal estimates match US MPG estimates?
A: No. In Canada we use Imperial gallons. In the US they use US gallons. (1 imperial gallon = 1.2 US gallons)
Q: Will the fuel consumption label highlight the change to the new (5-cycle) ratings?
A: Yes. See the sample label below.


- How & Where You Drive
- Vehicle Condition & Maintenance
- Fuel Variations
- Vehicle Variations
- Engine Break-In"
Q: What do I do if my vehicle is stolen?,"A:
If your vehicle is located, you will be contacted by the reporting officer.
To confirm if your vehicle is equipped with Safety Connect, please check here ."
Q: Where do I find information on careers with Lexus?,"A: Lexus is a division of Toyota Canada Inc. To learn about career opportunities, please visit our Careers Section. The Lexus RX is manufactured in Canada. To view Career opportunities in Lexus manufacturing, visit www.tmmc.ca."
